tanggal,kode_prov,nama_prov,kode_kab,nama_kab,closecontact,closecontact_dikarantina,closecontact_discarded,suspect,suspect_diisolasi,suspect_discarded,probable,probable_diisolasi,probable_discarded,probable_meninggal,confirmation,confirmation_selesai,confirmation_meninggal,pertumbuhan_closecontact,pertumbuhan_closecontact_discarded,pertumbuhan_closecontact_dikarantina,pertumbuhan_suspect,pertumbuhan_suspect_discarded,pertumbuhan_suspect_diisolasi,pertumbuhan_probable,pertumbuhan_probable_discarded,pertumbuhan_probable_diisolasi,pertumbuhan_probable_meninggal,pertumbuhan_confirmation,pertumbuhan_confirmation_selesai,pertumbuhan_confirmation_meninggal,
2020-08-01,32,Provinsi Jawa Barat,3277,KOTA CIMAHI,0,0,0,0,0,0,0,0,0,0,126,106,4,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-01,32,Provinsi Jawa Barat,3217,KAB. BANDUNG BARAT,0,0,0,0,0,0,0,0,0,0,108,70,4,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-01,32,Provinsi Jawa Barat,3203,KAB. CIANJUR,0,0,0,0,0,0,0,0,0,0,39,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3276,KOTA DEPOK,0,0,0,0,0,0,0,0,0,0,1228,718,41,0,0,0,0,0,0,0,0,0,0,8,0,0,
2020-08-01,32,Provinsi Jawa Barat,3209,KAB. CIREBON,0,0,0,0,0,0,0,0,0,0,43,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3207,KAB. CIAMIS,0,0,0,0,0,0,0,0,0,0,20,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3275,KOTA BEKASI,0,0,0,0,0,0,0,0,0,0,804,268,30,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-01,32,Provinsi Jawa Barat,3218,KAB. PANGANDARAN,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-01,32,Provinsi Jawa Barat,3208,KAB. KUNINGAN,0,0,0,0,0,0,0,0,0,0,49,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3215,KAB. KARAWANG,0,0,0,0,0,0,0,0,0,0,97,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3273,KOTA BANDUNG,0,0,0,0,0,0,0,0,0,0,503,267,44,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-01,32,Provinsi Jawa Barat,3210,KAB. MAJALENGKA,0,0,0,0,0,0,0,0,0,0,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3206,KAB. TASIKMALAYA,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3272,KOTA SUKABUMI,0,0,0,0,0,0,0,0,0,0,74,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3201,KAB. BOGOR,0,0,0,0,0,0,0,0,0,0,493,176,11,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-08-01,32,Provinsi Jawa Barat,3205,KAB. GARUT,0,0,0,0,0,0,0,0,0,0,37,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,0000,BELUM TERIDENTIFIKASI,0,0,0,0,0,0,0,0,0,0,1650,1263,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-01,32,Provinsi Jawa Barat,3271,KOTA BOGOR,0,0,0,0,0,0,0,0,0,0,268,175,18,0,0,0,0,0,0,0,0,0,0,11,0,0,
2020-08-01,32,Provinsi Jawa Barat,3212,KAB. INDRAMAYU,0,0,0,0,0,0,0,0,0,0,51,38,4,0,0,0,0,0,0,0,0,0,0,0,2,0,
2020-08-01,32,Provinsi Jawa Barat,3274,KOTA CIREBON,0,0,0,0,0,0,0,0,0,0,33,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3279,KOTA BANJAR,0,0,0,0,0,0,0,0,0,0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3213,KAB. SUBANG,0,0,0,0,0,0,0,0,0,0,92,75,4,0,0,0,0,0,0,0,0,0,0,2,16,0,
2020-08-01,32,Provinsi Jawa Barat,3204,KAB. BANDUNG,0,0,0,0,0,0,0,0,0,0,214,140,5,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-01,32,Provinsi Jawa Barat,3214,KAB. PURWAKARTA,0,0,0,0,0,0,0,0,0,0,60,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-01,32,Provinsi Jawa Barat,3202,KAB. SUKABUMI,0,0,0,0,0,0,0,0,0,0,77,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2020-08-01,32,Provinsi Jawa Barat,3278,KOTA TASIKMALAYA,0,0,0,0,0,0,0,0,0,0,27,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-01,32,Provinsi Jawa Barat,3216,KAB. BEKASI,0,0,0,0,0,0,0,0,0,0,400,262,26,0,0,0,0,0,0,0,0,0,0,15,0,0,
2020-08-01,32,Provinsi Jawa Barat,3211,KAB. SUMEDANG,0,0,0,0,0,0,0,0,0,0,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3277,KOTA CIMAHI,0,0,0,0,0,0,0,0,0,0,126,106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3217,KAB. BANDUNG BARAT,0,0,0,0,0,0,0,0,0,0,108,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3203,KAB. CIANJUR,0,0,0,0,0,0,0,0,0,0,40,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-02,32,Provinsi Jawa Barat,3276,KOTA DEPOK,0,0,0,0,0,0,0,0,0,0,1229,718,41,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-02,32,Provinsi Jawa Barat,3209,KAB. CIREBON,0,0,0,0,0,0,0,0,0,0,43,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3207,KAB. CIAMIS,0,0,0,0,0,0,0,0,0,0,20,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3275,KOTA BEKASI,0,0,0,0,0,0,0,0,0,0,830,268,30,0,0,0,0,0,0,0,0,0,0,26,0,0,
2020-08-02,32,Provinsi Jawa Barat,3218,KAB. PANGANDARAN,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3208,KAB. KUNINGAN,0,0,0,0,0,0,0,0,0,0,49,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3215,KAB. KARAWANG,0,0,0,0,0,0,0,0,0,0,101,56,1,0,0,0,0,0,0,0,0,0,0,4,4,0,
2020-08-02,32,Provinsi Jawa Barat,3273,KOTA BANDUNG,0,0,0,0,0,0,0,0,0,0,506,267,44,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-02,32,Provinsi Jawa Barat,3210,KAB. MAJALENGKA,0,0,0,0,0,0,0,0,0,0,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3206,KAB. TASIKMALAYA,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
2020-08-02,32,Provinsi Jawa Barat,3272,KOTA SUKABUMI,0,0,0,0,0,0,0,0,0,0,74,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3201,KAB. BOGOR,0,0,0,0,0,0,0,0,0,0,495,176,11,0,0,0,0,0,0,0,0,0,0,2,0,0,
